trait,feature,accuracy
num_pos_sub_conj,cAGR,0.5371120107962213
num_pos_adj,cAGR,0.5371120107962213
num_pos_aux,cAGR,0.5384615384615384
num_pos_noun,cAGR,0.5371120107962213
num_pos_adv,cAGR,0.5371120107962213
num_pos_verb,cAGR,0.5371120107962213
num_of_char,cCON,0.47368421052631576
num_any_words,cCON,0.5236167341430499
num_long_words,cCON,0.47368421052631576
num_short_words,cCON,0.524966261808367
num_sentences,cCON,0.5290148448043185
num_diff_word_stop,cCON,0.5236167341430499
num_diff_word_nstop,cCON,0.524966261808367
avg_sentence_length,cCON,0.46963562753036436
avg_word_length,cCON,0.524966261808367
num_syllables,cCON,0.47368421052631576
most_freq_word_length,cCON,0.5222672064777328
most_freq_sentence_length,cCON,0.47368421052631576
flesch_reading_ease,cCON,0.5290148448043185
flesch_kincaid_grade_level,cCON,0.4682860998650472
automated_readability_index,cCON,0.5452091767881242
LIX_readability,cCON,0.47368421052631576
dale_chall_readability,cCON,0.5519568151147098
SMOG_readability,cCON,0.5290148448043185
type_token_ratio,cCON,0.5195681511470985
hapax_legomena,cCON,0.5236167341430499
num_diff_pos,cCON,0.5263157894736842
num_pos_coord_conj,cCON,0.49527665317139
num_pos_num,cCON,0.5060728744939271
num_pos_det,cCON,0.5236167341430499
num_pos_sub_conj,cCON,0.4885290148448043
num_pos_adj,cCON,0.47368421052631576
num_pos_aux,cCON,0.47908232118758437
num_pos_noun,cCON,0.47368421052631576
num_pos_adv,cCON,0.47368421052631576
num_pos_verb,cCON,0.5263157894736842
num_of_char,cOPN,0.5155195681511471
num_any_words,cOPN,0.48582995951417
num_long_words,cOPN,0.4844804318488529
num_short_words,cOPN,0.48582995951417
num_sentences,cOPN,0.5155195681511471
num_diff_word_stop,cOPN,0.5141700404858299
num_diff_word_nstop,cOPN,0.5141700404858299
avg_sentence_length,cOPN,0.4844804318488529
avg_word_length,cOPN,0.5721997300944669
num_syllables,cOPN,0.5155195681511471
most_freq_word_length,cOPN,0.524966261808367
most_freq_sentence_length,cOPN,0.4898785425101215
flesch_reading_ease,cOPN,0.4844804318488529
flesch_kincaid_grade_level,cOPN,0.5155195681511471
automated_readability_index,cOPN,0.5155195681511471
LIX_readability,cOPN,0.5141700404858299
dale_chall_readability,cOPN,0.5155195681511471
SMOG_readability,cOPN,0.5425101214574899
type_token_ratio,cOPN,0.5384615384615384
hapax_legomena,cOPN,0.4844804318488529
num_diff_pos,cOPN,0.5303643724696356
num_pos_coord_conj,cOPN,0.5155195681511471
num_pos_num,cOPN,0.5155195681511471
num_pos_det,cOPN,0.5155195681511471
num_pos_sub_conj,cOPN,0.5155195681511471
num_pos_adj,cOPN,0.4844804318488529
num_pos_aux,cOPN,0.5209176788124157
num_pos_noun,cOPN,0.4844804318488529
num_pos_adv,cOPN,0.5141700404858299
num_pos_verb,cOPN,0.4844804318488529
